rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.7761,0.8094,0.5714,1.0,7,4,False,True
2,frame_0292.jpg,116.8,0.7497,0.6651,0.8571,0.8,6,6,False,True
3,frame_0077.jpg,30.8,0.7423,0.704,0.7143,0.88,8,5,False,False
4,frame_0076.jpg,30.4,0.7206,0.559,0.8571,0.92,8,6,False,False
5,frame_0291.jpg,116.4,0.7157,0.7525,0.5714,0.84,7,4,False,False
6,frame_0127.jpg,50.8,0.7018,0.6551,0.7143,0.8,5,5,False,True
7,frame_0288.jpg,115.2,0.6976,0.6786,0.7143,0.72,7,5,False,False
8,frame_0170.jpg,68.0,0.6962,0.7719,0.7143,0.48,9,5,False,True
9,frame_0284.jpg,113.6,0.6841,0.7157,0.7143,0.56,5,5,False,True
10,frame_0071.jpg,28.4,0.6785,0.6998,0.4286,1.0,7,3,False,False
11,frame_0384.jpg,153.6,0.6778,0.6916,1.0,0.16,9,7,False,True
12,frame_0005.jpg,2.0,0.6746,0.5206,0.7143,1.0,5,5,False,True
13,frame_0008.jpg,3.2,0.6727,0.6883,0.4286,1.0,3,3,False,False
14,frame_0001.jpg,0.4,0.6716,0.6003,0.5714,1.0,7,4,False,False
15,frame_0075.jpg,30.0,0.6661,0.6054,0.5714,0.96,6,4,False,False
16,frame_0002.jpg,0.8,0.6645,0.5004,0.7143,1.0,7,5,False,False
17,frame_0030.jpg,12.0,0.6616,0.5804,0.5714,1.0,7,4,False,True
18,frame_0070.jpg,28.0,0.6572,0.5716,0.5714,1.0,7,4,False,False
19,frame_0072.jpg,28.8,0.6567,0.6563,0.4286,1.0,7,3,False,False
20,frame_0016.jpg,6.4,0.6557,0.3972,0.8571,1.0,6,6,False,True
21,frame_0188.jpg,75.2,0.6503,0.7703,0.8571,0.04,9,6,False,True
22,frame_0033.jpg,13.2,0.6451,0.5474,0.5714,1.0,7,4,False,False
23,frame_0029.jpg,11.6,0.6448,0.5468,0.5714,1.0,5,4,False,False
24,frame_0397.jpg,158.8,0.6417,0.7748,0.7143,0.2,6,5,False,True
25,frame_0375.jpg,150.0,0.6405,0.7725,0.7143,0.2,8,5,False,True
26,frame_0286.jpg,114.4,0.6343,0.7555,0.4286,0.64,7,3,False,False
27,frame_0073.jpg,29.2,0.6331,0.6091,0.4286,1.0,5,3,False,False
28,frame_0067.jpg,26.8,0.6316,0.5204,0.5714,1.0,8,4,False,False
29,frame_0294.jpg,117.6,0.6314,0.632,0.5714,0.72,5,4,False,False
30,frame_0275.jpg,110.0,0.6303,0.8378,0.5714,0.2,6,4,False,False
31,frame_0089.jpg,35.6,0.6267,0.6648,0.7143,0.4,6,5,False,False
32,frame_0014.jpg,5.6,0.6203,0.5835,0.4286,1.0,5,3,False,False
33,frame_0106.jpg,42.4,0.6198,0.7951,0.7143,0.04,9,5,False,False
34,frame_0000.jpg,0.0,0.6178,0.4928,0.5714,1.0,6,4,False,False
35,frame_0020.jpg,8.0,0.6145,0.5719,0.4286,1.0,4,3,False,False
36,frame_0079.jpg,31.6,0.6112,0.6453,0.4286,0.8,8,3,False,False
37,frame_0298.jpg,119.2,0.6072,0.6476,0.5714,0.56,7,4,False,False
38,frame_0377.jpg,150.8,0.607,0.7374,0.7143,0.12,8,5,False,False
39,frame_0095.jpg,38.0,0.6056,0.633,0.8571,0.16,6,6,False,False
40,frame_0173.jpg,69.2,0.6038,0.7207,0.5714,0.36,7,4,False,False
41,frame_0009.jpg,3.6,0.6013,0.6312,0.2857,1.0,2,2,False,False
42,frame_0129.jpg,51.6,0.6011,0.593,0.4286,0.88,5,3,False,False
43,frame_0230.jpg,92.0,0.5972,0.8036,0.5714,0.12,7,4,False,False
44,frame_0115.jpg,46.0,0.594,0.6315,0.7143,0.32,7,5,False,False
45,frame_0011.jpg,4.4,0.5878,0.6042,0.2857,1.0,4,2,False,False
46,frame_0387.jpg,154.8,0.5867,0.5791,0.8571,0.2,9,6,False,False
47,frame_0078.jpg,31.2,0.5831,0.6588,0.2857,0.84,8,2,False,False
48,frame_0128.jpg,51.2,0.5816,0.5701,0.4286,0.84,6,3,False,False
49,frame_0320.jpg,128.0,0.58,0.6354,0.7143,0.24,9,5,False,False
50,frame_0167.jpg,66.8,0.5779,0.4872,0.7143,0.6,5,5,False,False
51,frame_0186.jpg,74.4,0.5736,0.7027,0.7143,0.04,9,5,False,False
52,frame_0368.jpg,147.2,0.5728,0.701,0.7143,0.04,8,5,False,False
53,frame_0287.jpg,114.8,0.5724,0.7014,0.2857,0.68,6,2,False,False
54,frame_0290.jpg,116.0,0.5715,0.5659,0.4286,0.8,6,3,False,False
55,frame_0130.jpg,52.0,0.5679,0.5106,0.4286,0.92,5,3,False,False
56,frame_0031.jpg,12.4,0.5663,0.4754,0.4286,1.0,7,3,False,False
57,frame_0376.jpg,150.4,0.5646,0.8081,0.4286,0.16,6,3,False,False
58,frame_0017.jpg,6.8,0.5644,0.4716,0.4286,1.0,6,3,False,False
59,frame_0301.jpg,120.4,0.5634,0.608,0.5714,0.44,7,4,False,False
60,frame_0225.jpg,90.0,0.5628,0.7508,0.5714,0.08,4,4,False,False
61,frame_0302.jpg,120.8,0.5598,0.6167,0.5714,0.4,6,4,False,False
62,frame_0231.jpg,92.4,0.5589,0.5396,0.8571,0.16,10,6,False,False
63,frame_0169.jpg,67.6,0.5582,0.6513,0.4286,0.52,6,3,False,False
